Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
39.920891954,1,39,920891954,ego_vehicle/lane_invasion,10
41.070891971,2,41,70891971,ego_vehicle/lane_invasion,1
41.220891973,3,41,220891973,ego_vehicle/lane_invasion,10
41.920891984,4,41,920891984,ego_vehicle/lane_invasion,1
81.170892569,5,81,170892569,ego_vehicle/lane_invasion,1
81.92089258,6,81,920892580,ego_vehicle/lane_invasion,1
82.070892582,7,82,70892582,ego_vehicle/lane_invasion,10
82.62089259,8,82,620892590,ego_vehicle/lane_invasion,1,2
83.2708926,9,83,270892600,ego_vehicle/lane_invasion,2
83.370892602,10,83,370892602,ego_vehicle/lane_invasion,2
83.520892604,11,83,520892604,ego_vehicle/lane_invasion,2
122.820893189,12,122,820893189,ego_vehicle/lane_invasion,10
123.420893198,13,123,420893198,ego_vehicle/lane_invasion,10
162.770893785,14,162,770893785,ego_vehicle/lane_invasion,1
165.470893825,15,165,470893825,ego_vehicle/lane_invasion,1
166.620893842,16,166,620893842,ego_vehicle/lane_invasion,1
167.220893851,17,167,220893851,ego_vehicle/lane_invasion,2
167.420893854,18,167,420893854,ego_vehicle/lane_invasion,2
206.370894434,19,206,370894434,ego_vehicle/lane_invasion,1
207.170894446,20,207,170894446,ego_vehicle/lane_invasion,1
