Time,data
12.628420017,1.331562876701355
12.628420017,1.5661156177520752
12.678420018,1.6298898458480835
12.728420019,1.7447069883346558
12.778420019,1.9030280113220215
12.82842002,2.102699041366577
12.878420021,2.347559690475464
12.928420022000001,2.568767786026001
12.978420022,2.778484344482422
13.028420023,2.985257148742676
13.078420024,3.18343186378479
13.128420025,3.3926656246185303
13.178420025,3.6103100776672363
13.228420026,3.8297290802001953
13.278420027,4.051023006439209
13.328420028,4.273317813873291
13.378420028,4.499179363250732
13.428420029,4.726970672607422
13.47842003,4.956441402435303
13.528420031,5.186924457550049
13.578420031,5.309914588928223
13.628420032,5.350172996520996
13.678420033,5.2876787185668945
13.728420033999999,5.757909774780273
13.778420034,6.280612468719482
13.828420035,6.6170220375061035
13.878420036,7.045935153961182
13.928420037,7.327998161315918
13.978420037,7.695076942443848
14.028420038,7.950186252593994
14.078420039,8.270517349243164
14.12842004,8.50464153289795
14.17842004,8.796154975891113
14.228420041,9.024384498596191
14.278420042,9.293526649475098
14.328420042,9.522035598754883
14.378420043,9.78447437286377
14.428420044,10.022768020629883
14.478420045,10.056960105895996
14.528420045,10.021838188171387
14.578420046,10.294442176818848
14.628420047,10.692919731140137
14.678420048,11.058866500854492
14.728420048,11.372856140136719
14.778420049,11.652931213378906
14.82842005,11.901946067810059
14.878420051,12.093987464904785
14.928420051,12.260270118713379
14.978420052,12.404325485229492
15.028420053,12.51406478881836
15.078420054,12.559577941894531
15.128420054,12.528596878051758
15.178420055,12.412333488464355
15.228420056,12.193603515625
15.278420057,11.894678115844727
15.328420057,11.67153263092041
15.378420058,11.536544799804688
15.428420059,11.282655715942383
15.47842006,10.80915641784668
15.52842006,10.387530326843262
15.578420061,10.022042274475098
15.628420062,9.727688789367676
15.678420063,9.50163459777832
15.728420063,9.33120346069336
15.778420064,9.203701972961426
15.828420065,9.108464241027832
15.878420066,9.024704933166504
15.928420066,8.952864646911621
15.978420067,8.861083984375
16.028420068,8.824037551879883
16.078420069,8.774072647094727
16.128420069,8.763998031616211
16.17842007,8.67590618133545
16.228420071,8.57326602935791
16.278420072,8.373106002807617
16.328420072,8.21328067779541
16.378420073,8.0160551071167
16.428420074,7.936447620391846
16.478420075,7.8299994468688965
16.528420075,7.829188823699951
16.578420076,7.765166282653809
16.628420077,7.7953572273254395
16.678420078,7.765730857849121
16.728420078,7.834909439086914
16.778420079,7.845015048980713
16.82842008,7.945290565490723
16.87842008,7.980884075164795
16.928420081,8.10084342956543
16.978420082,8.150528907775879
17.028420083,8.267464637756348
17.078420083,8.310075759887695
17.128420084,8.400535583496094
17.178420085,8.40642261505127
17.228420086,8.462761878967285
17.278420086,8.456350326538086
17.328420087,8.510965347290039
17.378420088,8.527132034301758
17.428420089,8.636218070983887
17.478420089,8.71854019165039
17.52842009,8.86819076538086
17.578420091,8.96965217590332
17.628420092,9.124273300170898
17.678420092,9.232813835144043
17.728420093,9.345544815063477
17.778420094,9.419179916381836
17.828420095,9.496732711791992
17.878420095,9.544936180114746
17.928420096,9.602941513061523
17.978420097,9.613619804382324
18.028420098,9.636616706848145
18.078420098,9.628362655639648
18.128420099,9.638887405395508
18.1784201,9.642899513244629
18.228420101,9.655572891235352
18.278420101000002,9.64856243133545
18.328420102,9.636075973510742
18.378420103,9.62466812133789
18.428420104,9.622743606567383
18.478420104,9.613618850708008
18.528420105,9.614343643188477
18.578420106,9.593636512756348
18.628420107,9.597365379333496
18.678420107,9.5880126953125
18.728420108,9.596999168395996
18.778420109,9.588800430297852
18.82842011,9.598832130432129
18.87842011,9.587347030639648
18.928420111,9.582674026489258
18.978420112,9.578522682189941
19.028420113,9.582683563232422
19.078420113,9.579022407531738
19.128420114,9.580750465393066
19.178420115,9.565874099731445
19.228420116,9.573005676269531
19.278420116,9.563455581665039
19.328420117,9.568075180053711
19.378420118,9.550251960754395
19.428420118,9.544425010681152
19.478420119,9.516692161560059
19.52842012,9.496021270751953
19.578420121,9.470003128051758
19.628420121,9.452446937561035
19.678420122,9.425207138061523
19.728420123,9.407763481140137
19.778420124,9.376127243041992
19.828420124,9.386256217956543
19.878420125,9.39635181427002
19.928420126,9.447568893432617
19.978420127,9.506738662719727
20.028420127,9.589032173156738
20.078420128,9.69871711730957
20.128420129,9.839920997619629
20.17842013,9.993535041809082
20.22842013,10.171236991882324
20.278420131,10.362646102905273
20.328420132,10.547524452209473
20.378420133,10.492485046386719
20.428420133,10.47468090057373
20.478420134,10.813166618347168
20.528420135,11.203692436218262
20.578420136,11.544835090637207
20.628420136,11.860000610351562
20.678420137,12.141439437866211
20.728420138,12.404916763305664
20.778420139,12.647015571594238
20.828420139,12.882043838500977
20.87842014,13.110902786254883
20.928420141,13.336213111877441
20.978420142,13.55918025970459
21.028420142,13.768314361572266
21.078420143,13.98386287689209
21.128420144,14.187426567077637
21.178420145,14.392024993896484
21.228420145,14.596099853515625
21.278420146,14.79564380645752
21.328420147,14.99388313293457
21.378420148,15.192649841308594
21.428420148,15.300985336303711
21.478420149,15.278197288513184
21.52842015,15.325115203857422
21.578420151,15.630476951599121
21.628420151,15.902711868286133
21.678420152,16.150903701782227
21.728420153000002,16.377601623535156
21.778420154,16.587482452392578
21.828420154,16.787046432495117
21.878420155,16.974489212036133
21.928420156,17.15582847595215
21.978420156,17.327489852905273
22.028420157,17.493976593017578
22.078420158,17.656633377075195
22.128420159,17.813682556152344
22.178420159,17.969606399536133
22.22842016,18.119678497314453
22.278420161,18.26717185974121
22.328420162,18.413686752319336
22.378420162,18.55780792236328
22.428420163,18.699779510498047
22.478420164,18.843021392822266
22.528420165,18.985136032104492
22.578420165,19.12777328491211
22.628420166,19.27130889892578
22.678420167,19.414804458618164
22.728420168,19.559383392333984
22.778420168,19.70387077331543
22.828420169,19.850244522094727
22.87842017,19.99773406982422
22.928420171,20.14630699157715
22.978420171,20.296693801879883
23.028420172,20.44898223876953
23.078420173,20.603809356689453
23.128420174,20.76111602783203
23.178420174,20.921382904052734
23.228420175,21.018156051635742
23.278420176,20.99905014038086
23.328420177,21.027381896972656
23.378420177,21.256637573242188
23.428420178,21.462244033813477
23.478420179,21.64796257019043
