Time,data
16.311316403,2.4090685844421387
16.361316404,2.595991373062134
16.411316405,2.7707712650299072
16.461316405,2.9405083656311035
16.511316406,3.109459400177002
16.561316407,3.2803902626037598
16.611316408,3.4545130729675293
16.661316408,3.6313557624816895
16.711316409,3.8100082874298096
16.76131641,3.988919734954834
16.811316411,4.168747901916504
16.861316411,4.3505659103393555
16.911316412,4.536951065063477
16.961316413,4.72797155380249
17.011316413,4.922091484069824
17.061316414,5.117824077606201
17.111316415,5.3224992752075195
17.161316416,5.4782586097717285
17.211316416,5.437538146972656
17.261316417,5.489619731903076
17.311316418,5.861133098602295
17.361316419,6.227404594421387
17.411316419,6.682861804962158
17.46131642,6.9701247215271
17.511316421,7.339573383331299
17.561316422,7.585554122924805
17.611316422,7.904424667358398
17.661316423,8.124792098999023
17.711316424,8.41248893737793
17.761316425,8.62250804901123
17.811316425,8.88523006439209
17.861316426,9.088046073913574
17.911316427,9.330391883850098
17.961316428,9.529618263244629
18.011316428,9.754837989807129
18.061316429,9.952238082885742
18.11131643,10.16291618347168
18.161316431,10.358269691467285
18.211316431,10.557503700256348
18.261316432,10.68394947052002
18.311316433000002,10.69400691986084
18.361316434,10.679003715515137
18.411316434,11.09139633178711
18.461316435,11.442178726196289
18.511316436,11.751255989074707
18.561316437,12.02745246887207
18.611316437,12.277871131896973
18.661316438,12.508367538452148
18.711316439,12.72431755065918
18.76131644,12.92949104309082
18.81131644,13.1267728805542
18.861316441,13.318214416503906
18.911316442,13.50559139251709
18.961316443,13.690166473388672
19.011316443,13.87300968170166
19.061316444,14.054749488830566
19.111316445,14.23572063446045
19.161316446,14.416108131408691
19.211316446,14.596471786499023
19.261316447,14.776933670043945
19.311316448,14.957444190979004
19.361316449,15.138443946838379
19.411316449,15.31949520111084
19.46131645,15.500802040100098
19.511316451,15.682308197021484
19.561316451,15.821995735168457
19.611316452,15.810495376586914
19.661316453,15.797965049743652
19.711316454,16.09926414489746
19.761316454,16.36571502685547
19.811316455,16.603633880615234
19.861316456,16.819610595703125
19.911316457,17.01900291442871
19.961316457,17.20573616027832
20.011316458,17.382686614990234
20.061316459,17.552066802978516
20.11131646,17.715396881103516
20.16131646,17.873939514160156
20.211316461,18.02867317199707
20.261316462,18.18012237548828
20.311316463,18.32872200012207
20.361316463,18.474878311157227
20.411316464,18.618850708007812
20.461316465,18.760656356811523
20.511316466,18.90045928955078
20.561316466,19.038536071777344
20.611316467,19.174474716186523
20.661316468,19.3081111907959
20.711316469,19.43876075744629
20.761316469,19.566864013671875
20.81131647,19.691207885742188
20.861316471,19.81113052368164
20.911316472,19.925992965698242
20.961316472,20.03592300415039
21.011316473,20.140493392944336
21.061316474,20.2401180267334
21.111316475,20.33383560180664
21.161316475,20.422069549560547
21.211316476,20.506092071533203
21.261316477,20.585498809814453
21.311316478,20.65930938720703
21.361316478,20.72706413269043
21.411316479,20.788654327392578
21.46131648,20.84535026550293
21.511316481,20.898286819458008
21.561316481,20.948366165161133
21.611316482,20.995769500732422
21.661316483,21.04078483581543
21.711316484,21.083797454833984
21.761316484,21.125102996826172
21.811316485,21.165010452270508
21.861316486,21.203197479248047
21.911316487,21.239459991455078
21.961316487,21.27394676208496
22.011316488,21.30683708190918
22.061316489,21.338274002075195
22.111316489,21.368539810180664
22.16131649,21.397741317749023
22.211316491,21.42621421813965
22.261316492,21.45412254333496
22.311316492,21.4809627532959
22.361316493,21.506793975830078
22.411316494,21.53191566467285
22.461316495,21.556556701660156
22.511316495,21.580806732177734
22.561316496,21.604158401489258
22.611316497,21.625913619995117
22.661316498,21.64679527282715
22.711316498,21.667104721069336
22.761316499,21.68722915649414
22.8113165,21.70705223083496
22.861316501,21.726543426513672
22.911316501,21.745676040649414
22.961316502,21.764543533325195
23.011316503,21.78347396850586
23.061316504,21.80217170715332
23.111316504,21.82028579711914
23.161316505,21.838119506835938
23.211316506,21.856016159057617
23.261316507,21.87373924255371
23.311316507,21.890968322753906
23.361316508,21.9080810546875
23.411316509,21.924928665161133
23.46131651,21.939390182495117
23.51131651,21.953304290771484
