Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,velocity,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,orientation.x,orientation.y,orientation.z,orientation.w,control.header.seq,control.header.stamp.secs,control.header.stamp.nsecs,control.header.frame_id,control.throttle,control.steer,control.brake,control.hand_brake,control.reverse,control.gear,control.manual_gear_shift
17.740452997,294,17,740452997,map,5.069790363311768,-1.178540587425232,-4.609642028808594,0.1044590026140213,0.0,0.0,0.0,-0.00517730353454717,-0.0008033224818460006,-0.6845809131068373,0.7289180499966441,0,0,0,,1.0,0.11181008815765381,0.0,False,False,1,False
17.790452998,295,17,790452998,map,5.298924446105957,-1.308447003364563,-4.560222625732422,-0.05620727315545082,0.0,0.0,0.0,-0.005218652715339035,-0.0007870368295782829,-0.6891927893463893,0.7245587935770355,0,0,0,,1.0,0.1130252480506897,0.0,False,False,1,False
17.840452998,296,17,840452998,map,5.391295909881592,-0.9136715531349182,-1.8228626251220703,-0.032038308680057526,0.0,0.0,0.0,-0.0048387650179031825,-0.0005981729682112496,-0.6937832205497688,0.7201673912541393,0,0,0,,1.0,0.10976815223693848,0.0,False,False,1,False
17.890452999,297,17,890452999,map,5.189828872680664,-0.35762637853622437,4.043827056884766,-0.016499709337949753,0.0,0.0,0.0,-0.003949590013532645,-0.00025721252896802665,-0.6980631193698299,0.7160252900255009,0,0,0,,1.0,0.0954735279083252,0.0,False,False,0,False
17.940453,298,17,940453000,map,5.607625961303711,-0.8050850033760071,-8.331060409545898,-0.007662009913474321,0.0,0.0,0.0,-0.003557876585453682,-0.00029180595007184044,-0.7020173594365523,0.7121508852857101,0,0,0,,1.0,0.08254379034042358,0.0,False,False,0,False
17.940453,299,17,990453001,map,6.009856224060059,-0.9059181809425354,-8.012924194335938,-0.004643249325454235,0.0,0.0,0.0,-0.0041181707353884454,-0.000941600752394558,-0.7059098985487599,0.7082890435328622,0,0,0,,1.0,0.07298415899276733,0.0,False,False,2,False
17.990453001,300,18,40453001,map,6.501560211181641,-0.8410811424255371,-9.805316925048828,-0.0015439977869391441,0.0,0.0,0.0,-0.004826496289087602,-0.0017397498590793,-0.7096061760274375,0.7045798415706462,0,0,0,,1.0,0.063945472240448,0.0,False,False,2,False
18.090453002,301,18,90453002,map,6.818880558013916,-0.4751455783843994,-6.330690383911133,0.0008079526014626026,0.0,0.0,0.0,-0.0051961947093168695,-0.0023933405858913223,-0.7128974617960921,0.7012449503890009,0,0,0,,1.0,0.048935770988464355,0.0,False,False,2,False
18.140453003,302,18,140453003,map,7.227239608764648,-0.0025469064712524414,-8.176660537719727,0.0026596062816679478,0.0,0.0,0.0,-0.005226061737356736,-0.003015983919144632,-0.7155067675039901,0.6985797433190486,0,0,0,,1.0,0.02979147434234619,0.0,False,False,2,False
18.190453004,303,18,190453004,map,7.498478412628174,0.8192461729049683,-5.465526580810547,0.0030406955629587173,0.0,0.0,0.0,-0.004818997365570507,-0.0036182220438704667,-0.7171239396430761,0.6969196086525518,0,0,0,,1.0,0.004936277866363525,0.0,False,False,2,False
