Time,clock.secs,clock.nsecs
28.603521265,28,603521265
28.653521265,28,653521265
28.653521265,28,703521266
28.703521266,28,753521267
28.803521268,28,803521268
28.853521268,28,853521268
28.903521269,28,903521269
28.903521269,28,953521270
29.003521271,29,3521271
29.053521271,29,53521271
29.103521272,29,103521272
29.153521273,29,153521273
29.203521274,29,203521274
29.253521274,29,253521274
29.303521275,29,303521275
29.353521276,29,353521276
29.403521277,29,403521277
29.453521277,29,453521277
29.503521278,29,503521278
29.553521279,29,553521279
29.603521279,29,603521279
29.65352128,29,653521280
29.703521281,29,703521281
29.753521282,29,753521282
29.803521282,29,803521282
29.853521283,29,853521283
29.903521284,29,903521284
29.953521285,29,953521285
30.003521285,30,3521285
30.053521286,30,53521286
30.103521287,30,103521287
30.153521288,30,153521288
30.203521288,30,203521288
30.253521289,30,253521289
30.30352129,30,303521290
30.353521291,30,353521291
30.403521291,30,403521291
30.453521292,30,453521292
30.503521293,30,503521293
30.503521293,30,553521294
30.603521294,30,603521294
30.653521295,30,653521295
30.703521296,30,703521296
30.753521297,30,753521297
30.803521297,30,803521297
30.853521298,30,853521298
30.903521299,30,903521299
30.9535213,30,953521300
31.0035213,31,3521300
31.053521301,31,53521301
31.103521302,31,103521302
31.153521303,31,153521303
31.203521303,31,203521303
31.253521304,31,253521304
31.253521304,31,303521305
31.353521306,31,353521306
31.403521306000002,31,403521306
31.453521307,31,453521307
31.503521308,31,503521308
31.503521308,31,553521309
31.603521309,31,603521309
31.65352131,31,653521310
31.703521311,31,703521311
31.753521312,31,753521312
31.803521312,31,803521312
31.853521313,31,853521313
31.903521314,31,903521314
31.953521315,31,953521315
32.003521315,32,3521315
32.053521316,32,53521316
32.103521317,32,103521317
32.153521317,32,153521317
32.203521318,32,203521318
32.253521319,32,253521319
32.30352132,32,303521320
32.30352132,32,353521320
32.403521321,32,403521321
32.453521322,32,453521322
32.503521323,32,503521323
32.553521323,32,553521323
32.603521324,32,603521324
32.653521325,32,653521325
32.703521326,32,703521326
32.753521326,32,753521326
32.803521327,32,803521327
32.853521328,32,853521328
32.903521329,32,903521329
32.953521329,32,953521329
33.00352133,33,3521330
33.053521331,33,53521331
33.103521332,33,103521332
33.153521332,33,153521332
33.203521333,33,203521333
33.253521334,33,253521334
33.303521335,33,303521335
33.353521335,33,353521335
33.353521335,33,403521336
33.453521337,33,453521337
33.503521338,33,503521338
33.553521338,33,553521338
33.603521339,33,603521339
33.65352134,33,653521340
33.703521341,33,703521341
33.753521341,33,753521341
33.803521342,33,803521342
33.853521343,33,853521343
33.903521344,33,903521344
33.953521344,33,953521344
34.003521345,34,3521345
34.053521346,34,53521346
34.103521347,34,103521347
34.153521347,34,153521347
34.203521348,34,203521348
34.253521349,34,253521349
34.30352135,34,303521350
34.35352135,34,353521350
34.403521351,34,403521351
34.453521352,34,453521352
34.503521353,34,503521353
34.553521353,34,553521353
34.603521354,34,603521354
34.653521355,34,653521355
34.703521355,34,703521355
34.753521356,34,753521356
34.803521357,34,803521357
34.853521358,34,853521358
34.903521358,34,903521358
34.953521359,34,953521359
35.00352136,35,3521360
35.00352136,35,53521361
35.103521361,35,103521361
35.153521362,35,153521362
35.203521363,35,203521363
35.253521364,35,253521364
35.303521364,35,303521364
35.353521365,35,353521365
35.403521366,35,403521366
35.453521367,35,453521367
35.503521367,35,503521367
35.553521368,35,553521368
35.603521369,35,603521369
35.65352137,35,653521370
35.70352137,35,703521370
35.753521371,35,753521371
35.803521372,35,803521372
35.853521373,35,853521373
35.903521373,35,903521373
35.953521374,35,953521374
36.003521375,36,3521375
36.053521376,36,53521376
36.103521376,36,103521376
36.103521376,36,153521377
36.203521378,36,203521378
36.253521379,36,253521379
36.303521379,36,303521379
36.303521379,36,353521380
36.403521381,36,403521381
36.403521381,36,453521382
36.453521382,36,503521382
36.553521383,36,553521383
36.603521384,36,603521384
36.653521385,36,653521385
36.703521385,36,703521385
36.753521386,36,753521386
36.803521387,36,803521387
36.853521388,36,853521388
36.903521388,36,903521388
36.953521389,36,953521389
37.00352139,37,3521390
37.053521391,37,53521391
37.053521391,37,103521391
37.153521392,37,153521392
37.203521393,37,203521393
37.253521393,37,253521393
37.303521394,37,303521394
37.353521395,37,353521395
37.403521396,37,403521396
37.403521396,37,453521396
37.503521397,37,503521397
37.553521398,37,553521398
37.553521398,37,603521399
37.653521399,37,653521399
37.7035214,37,703521400
37.753521401,37,753521401
37.753521401,37,803521402
37.853521402,37,853521402
37.903521403,37,903521403
37.953521404,37,953521404
38.003521405,38,3521405
38.053521405,38,53521405
38.103521406,38,103521406
38.153521407,38,153521407
38.203521408,38,203521408
38.203521408,38,253521408
38.303521409,38,303521409
38.35352141,38,353521410
38.403521411,38,403521411
38.453521411,38,453521411
38.503521412,38,503521412
38.553521413,38,553521413
38.603521414,38,603521414
38.653521414,38,653521414
38.703521415,38,703521415
38.753521416,38,753521416
38.803521417,38,803521417
38.853521417,38,853521417
38.903521418,38,903521418
38.953521419,38,953521419
39.00352142,39,3521420
39.05352142,39,53521420
39.103521421,39,103521421
39.153521422,39,153521422
39.203521423,39,203521423
39.253521423,39,253521423
39.303521424,39,303521424
39.353521425,39,353521425
39.403521426,39,403521426
39.453521426,39,453521426
39.503521427,39,503521427
39.553521428,39,553521428
39.603521429,39,603521429
39.603521429,39,653521429
39.653521429,39,703521430
39.753521431,39,753521431
39.803521431,39,803521431
39.853521432,39,853521432
39.903521433,39,903521433
39.953521434,39,953521434
40.003521434,40,3521434
