Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,velocity,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,orientation.x,orientation.y,orientation.z,orientation.w,control.header.seq,control.header.stamp.secs,control.header.stamp.nsecs,control.header.frame_id,control.throttle,control.steer,control.brake,control.hand_brake,control.reverse,control.gear,control.manual_gear_shift
14.930259153,247,14,930259153,map,1.4984753131866455,1.3367202281951904,-6.861715316772461,-0.002035713056102395,0.0,0.0,0.0,-0.0028311583355985328,-0.0039283892647324,-0.6696345356495624,0.7426749901307156,0,0,0,,1.0,-0.05732235312461853,0.0,False,False,1,False
14.930259153,248,14,980259153,map,1.7630982398986816,0.3643801808357239,-5.294551849365234,2.4414039216935635e-05,0.0,0.0,0.0,-0.003258374642676856,-0.0043107827984851035,-0.669010328367207,0.7432334631085673,0,0,0,,1.0,-0.0354827344417572,0.0,False,False,1,False
15.030259154,249,15,30259154,map,1.982567310333252,0.35071462392807007,-4.381778240203857,0.0013210297329351306,0.0,0.0,0.0,-0.003396177959416393,-0.004249961103156801,-0.6684985561321225,0.7436935418942113,0,0,0,,0.9909524917602539,-0.02667275071144104,0.0,False,False,1,False
15.080259155,250,15,80259155,map,2.1715359687805176,0.6037485599517822,-3.7323689460754395,0.0015272140735760331,0.0,0.0,0.0,-0.003251968928386194,-0.004035250329380173,-0.6679441453963978,0.7441933620259885,0,0,0,,0.998363733291626,-0.03137597441673279,0.0,False,False,1,False
15.130259156,251,15,130259156,map,2.358625888824463,0.3870183229446411,-3.723263740539551,0.0011911392211914062,0.0,0.0,0.0,-0.003048124762355328,-0.0037322323779499286,-0.6673855505579993,0.7446967881515982,0,0,0,,0.9993581771850586,-0.025602102279663086,0.0,False,False,1,False
15.180259156,252,15,180259156,map,2.5338940620422363,0.24628758430480957,-3.5027599334716797,0.0005187987699173391,0.0,0.0,0.0,-0.0028851615508644225,-0.0034042795569094804,-0.6669366263287461,0.7451010825282395,0,0,0,,0.7962362766265869,-0.01804468035697937,0.0,False,False,1,False
15.230259157,253,15,230259157,map,2.6779913902282715,-0.12693524360656738,-2.919144630432129,0.00019569401047192514,0.0,0.0,0.0,-0.0027936155378874613,-0.0029965303710912925,-0.6667333716081778,0.7452850647248696,0,0,0,,0.7324143648147583,-0.0034481287002563477,0.0,False,False,1,False
15.230259157,254,15,280259158,map,2.7978296279907227,-0.037026405334472656,-2.416868209838867,-7.705690222792327e-05,0.0,0.0,0.0,-0.002669643939458647,-0.002598403513620929,-0.666724226456571,0.7452951946418976,0,0,0,,0.7016475200653076,0.0024896860122680664,0.0,False,False,1,False
15.330259159,255,15,330259159,map,2.8901162147521973,1.7109757661819458,-1.6451692581176758,-0.00012912743841297925,0.0,0.0,0.0,-0.002059012771682785,-0.002617775927428737,-0.6660377324869033,0.7459106157035869,0,0,0,,0.5851904153823853,-0.044932276010513306,0.0,False,False,1,False
15.330259159,256,15,380259159,map,2.9701755046844482,1.6145634651184082,-1.3753175735473633,-0.0003782272688113153,0.0,0.0,0.0,-0.0012954557053951369,-0.0027748758020023495,-0.6645562066261305,0.747232005533413,0,0,0,,0.9997491836547852,-0.07234910130500793,0.0,False,False,1,False
15.43025916,257,15,430259160,map,3.087125062942505,0.08647918701171875,-2.3551225662231445,-0.00035324099007993937,0.0,0.0,0.0,-0.001059572009470649,-0.0026356956330358134,-0.6631675820432891,0.7484655560161362,0,0,0,,0.9998458623886108,-0.04568737745285034,0.0,False,False,1,False
15.480259161,258,15,480259161,map,3.2390217781066895,1.402357816696167,-2.846822738647461,-0.0005058288224972785,0.0,0.0,0.0,-0.0008761265526440187,-0.0027043827604085833,-0.6615332541374915,0.7499104429106251,0,0,0,,0.999807596206665,-0.06715139746665955,0.0,False,False,1,False
15.530259162,259,15,530259162,map,3.416682481765747,0.58349609375,-3.5050487518310547,-0.0004373550182208419,0.0,0.0,0.0,-0.000958384615289857,-0.002757648581041601,-0.6598746577245388,0.7513700240002628,0,0,0,,0.9993977546691895,-0.05342531204223633,0.0,False,False,1,False
15.580259162,260,15,580259162,map,3.609415292739868,0.8578157424926758,-3.7632369995117188,-0.00031261442927643657,0.0,0.0,0.0,-0.0011404805206462628,-0.0028517023241985415,-0.6582342227154847,0.7528069308555666,0,0,0,,0.9928934574127197,-0.05276170372962952,0.0,False,False,1,False
15.630259163,261,15,630259163,map,3.811793088912964,0.8708322048187256,-3.956332206726074,-0.00019893646822310984,0.0,0.0,0.0,-0.0013404553075467313,-0.002976771137391826,-0.6565758265878673,0.7542529588630215,0,0,0,,0.9930713176727295,-0.05015063285827637,0.0,False,False,1,False
15.680259164,262,15,680259164,map,4.020864963531494,1.0772335529327393,-4.054594039916992,-0.0001794815034372732,0.0,0.0,0.0,-0.0014854627815889543,-0.0031433739127364447,-0.6548322822079748,0.7557662302452157,0,0,0,,0.9933018684387207,-0.051878660917282104,0.0,False,False,1,False
15.730259165,263,15,730259165,map,4.235659599304199,0.8069467544555664,-4.219565391540527,2.002714609261602e-05,0.0,0.0,0.0,-0.0016629626249239074,-0.0032528487132194367,-0.653130565567639,0.75723650060721,0,0,0,,0.9964230060577393,-0.044206708669662476,0.0,False,False,1,False
15.730259165,264,15,780259165,map,4.45209264755249,2.3914742469787598,-3.9474010467529297,-0.0002399444201728329,0.0,0.0,0.0,-0.0014634081865453098,-0.0036322583984417013,-0.6508496392202394,0.7591965570669369,0,0,0,,0.9999992847442627,-0.07706722617149353,0.0,False,False,1,False
15.830259166,265,15,830259166,map,4.672484397888184,2.555696964263916,-3.9641475677490234,-0.00021362306142691523,0.0,0.0,0.0,-0.001045921984976409,-0.004143890445312149,-0.6477153094485475,0.7618704693877764,0,0,0,,1.0,-0.09330305457115173,0.0,False,False,1,False
15.880259167,266,15,880259167,map,4.8979034423828125,2.329542636871338,-4.091663360595703,-0.00022029875253792852,0.0,0.0,0.0,-0.0007017981415618614,-0.004556408910611934,-0.6440137430364928,0.7650000296714596,0,0,0,,1.0,-0.0970463752746582,0.0,False,False,1,False
15.930259168,267,15,930259168,map,5.1274614334106445,2.1987223625183105,-4.191007614135742,0.09161815792322159,0.0,0.0,0.0,-0.0004926610726746095,-0.004835969283002209,-0.6399966738373943,0.7683623026692766,0,0,0,,1.0,-0.09633404016494751,0.0,False,False,1,False
15.980259168,268,15,980259168,map,5.368419647216797,2.581143379211426,-4.314069747924805,-0.05032177269458771,0.0,0.0,0.0,-0.00030214667264198214,-0.005081796906355368,-0.6356213688423609,0.7719841705103507,0,0,0,,1.0,-0.10292679071426392,0.0,False,False,1,False
16.030259169,269,16,30259169,map,5.201519012451172,0.20287752151489258,3.5107994079589844,-0.02802848629653454,0.0,0.0,0.0,0.00010340010561674584,-0.004595552125858795,-0.6310945828706956,0.7756922699629919,0,0,0,,1.0,-0.10702738165855408,0.0,False,False,0,False
16.08025917,270,16,80259170,map,5.395373344421387,2.347848415374756,-3.3672714233398438,-0.013633918948471546,0.0,0.0,0.0,0.0005274443710358695,-0.004080738509603485,-0.626366219543671,0.7795180744474252,0,0,0,,1.0,-0.10949742794036865,0.0,False,False,0,False
16.130259171,271,16,130259171,map,5.6383185386657715,2.9453420639038086,-4.19529914855957,-0.007063102908432484,0.0,0.0,0.0,0.0007594135521556012,-0.00411447687901915,-0.6213176497741176,0.7835476197719164,0,0,0,,1.0,-0.10823452472686768,0.0,False,False,0,False
16.180259171,272,16,180259171,map,6.171696662902832,4.394516944885254,-9.80581283569336,-0.0039751045405864716,0.0,0.0,0.0,0.0004218556855871188,-0.005125116770109572,-0.615715819449169,0.7879515117670067,0,0,0,,1.0,-0.10369351506233215,0.0,False,False,2,False
16.230259172,273,16,230259172,map,6.517301082611084,2.105374336242676,-6.583681106567383,-0.00033607473596930504,0.0,0.0,0.0,-0.0003610095740227532,-0.005721668484091129,-0.610535300925389,0.7919682938765857,0,0,0,,1.0,-0.06955569982528687,0.0,False,False,2,False
16.280259173,274,16,280259173,map,6.95529317855835,3.1674909591674805,-8.184576034545898,0.0018453598022460938,0.0,0.0,0.0,-0.0010463194023351448,-0.006106062597006339,-0.6058987193704125,0.7955176698732492,0,0,0,,1.0,-0.06549814343452454,0.0,False,False,2,False
16.280259173,275,16,330259174,map,7.241683483123779,2.9744911193847656,-5.055255889892578,0.0024242396466434,0.0,0.0,0.0,-0.001253694023085041,-0.0063570516221503545,-0.601360753446874,0.7989513504336655,0,0,0,,1.0,-0.06917107105255127,0.0,False,False,2,False
16.380259174,276,16,380259174,map,7.614936351776123,2.7011489868164062,-6.968975067138672,0.003069305093958974,0.0,0.0,0.0,-0.0014709396469498627,-0.0063632317289537815,-0.5971936973899945,0.8020704666151137,0,0,0,,1.0,-0.05055072903633118,0.0,False,False,2,False
