Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
60.111457737,1,60,111457737,ego_vehicle/lane_invasion,1
60.811457747,2,60,811457747,ego_vehicle/lane_invasion,1
61.561457758,3,61,561457758,ego_vehicle/lane_invasion,1
61.911457763,4,61,911457763,ego_vehicle/lane_invasion,1
62.061457766,5,62,61457766,ego_vehicle/lane_invasion,1
62.511457772,6,62,511457772,ego_vehicle/lane_invasion,1,2
63.01145778,7,63,11457780,ego_vehicle/lane_invasion,2
63.161457782,8,63,161457782,ego_vehicle/lane_invasion,2
63.561457788,9,63,561457788,ego_vehicle/lane_invasion,2
100.861458344,10,100,861458344,ego_vehicle/lane_invasion,10
103.511458383,11,103,511458383,ego_vehicle/lane_invasion,1
104.461458398,12,104,461458398,ego_vehicle/lane_invasion,1
107.261458439,13,107,261458439,ego_vehicle/lane_invasion,1
108.611458459,14,108,611458459,ego_vehicle/lane_invasion,1
145.711459012,15,145,711459012,ego_vehicle/lane_invasion,10
146.26145902,16,146,261459020,ego_vehicle/lane_invasion,10
185.461459605,17,185,461459605,ego_vehicle/lane_invasion,1
185.86145961,18,185,861459610,ego_vehicle/lane_invasion,1
186.51145962,19,186,511459620,ego_vehicle/lane_invasion,1
187.061459628,20,187,61459628,ego_vehicle/lane_invasion,1
187.111459629,21,187,111459629,ego_vehicle/lane_invasion,2
187.711459638,22,187,711459638,ego_vehicle/lane_invasion,2
188.311459647,23,188,311459647,ego_vehicle/lane_invasion,2
189.661459667,24,189,661459667,ego_vehicle/lane_invasion,2
