Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,velocity,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,orientation.x,orientation.y,orientation.z,orientation.w,control.header.seq,control.header.stamp.secs,control.header.stamp.nsecs,control.header.frame_id,control.throttle,control.steer,control.brake,control.hand_brake,control.reverse,control.gear,control.manual_gear_shift
17.766307511,302,17,766307511,map,1.8115843534469604,0.043689459562301636,3.179597854614258,0.0012935638660565019,0.0,0.0,0.0,0.003227696988628556,-0.0027005997856301774,0.6988509325207725,0.715254963525451,0,0,0,,0.9737417697906494,-0.06709134578704834,0.0,False,False,1,False
17.816307512,303,17,816307512,map,2.0033674240112305,-0.06982654333114624,3.8354849815368652,0.00041866302490234375,0.0,0.0,0.0,0.0029868490553922452,-0.00257693417576653,0.699868683880144,0.7142606411295872,0,0,0,,0.9728000164031982,-0.06395763158798218,0.0,False,False,1,False
17.866307512,304,17,866307512,map,2.2412328720092773,-0.06405651569366455,4.757680892944336,-0.0001777648867573589,0.0,0.0,0.0,0.002931332612318019,-0.002549897921216079,0.7009616043309481,0.7131884285120524,0,0,0,,0.9676448106765747,-0.058506518602371216,0.0,False,False,1,False
17.916307513,305,17,916307513,map,2.4670236110687256,0.13755805790424347,4.52143669128418,-0.0004646301385946572,0.0,0.0,0.0,0.002929223466069778,-0.002638158924588259,0.7019860416453271,0.7121797926805419,0,0,0,,0.9669878482818604,-0.04697945713996887,0.0,False,False,1,False
17.966307514,306,17,966307514,map,2.671947956085205,0.34397974610328674,4.106602668762207,-0.0002849578741006553,0.0,0.0,0.0,0.0028442786159635523,-0.002770217303180758,0.702811325831411,0.7113652200229796,0,0,0,,0.9639061689376831,-0.03215312957763672,0.0,False,False,1,False
18.016307515,307,18,16307515,map,2.8664541244506836,0.8129629492759705,3.8976621627807617,-7.400511822197586e-05,0.0,0.0,0.0,0.002603898160180962,-0.0029858720365279,0.7032219412806852,0.7109593557890473,0,0,0,,0.9484013319015503,-0.007774144411087036,0.0,False,False,1,False
18.016307515,308,18,66307515,map,3.057917356491089,0.32108092308044434,3.828887939453125,-4.501343209994957e-05,0.0,0.0,0.0,0.0024340071889898617,-0.0030871798041486424,0.7034124221698216,0.7107710667064646,0,0,0,,0.9560452699661255,-0.004769951105117798,0.0,False,False,1,False
18.116307516,309,18,116307516,map,3.250291347503662,0.48546120524406433,3.8439559936523438,8.58307430462446e-06,0.0,0.0,0.0,0.0022974449553365725,-0.0031480199700359675,0.703403584193717,0.7107800007459255,0,0,0,,0.9536315202713013,0.004717111587524414,0.0,False,False,1,False
18.166307517,310,18,166307517,map,3.4452390670776367,0.3729863464832306,3.8942861557006836,1.1825559340650216e-05,0.0,0.0,0.0,0.002215513065753071,-0.003172188418659237,0.7032292584736953,0.7109526276405683,0,0,0,,0.9549384117126465,0.008878111839294434,0.0,False,False,1,False
18.216307518,311,18,216307518,map,3.642429828643799,0.17895609140396118,3.941378593444824,-5.245208740234375e-05,0.0,0.0,0.0,0.002218808719099515,-0.003137120516988145,0.7029996191178336,0.7111798442608668,0,0,0,,0.9539380073547363,0.0080757737159729,0.0,False,False,1,False
18.266307518,312,18,266307518,map,3.8413779735565186,0.23541435599327087,3.9752864837646484,-2.708435022213962e-05,0.0,0.0,0.0,0.0022492941261961557,-0.0030973609368762514,0.7027177764913654,0.7114584131445718,0,0,0,,0.9537854194641113,0.01009446382522583,0.0,False,False,1,False
18.266307518,313,18,316307519,map,4.041562080383301,0.4185613989830017,3.995532989501953,-5.893707202631049e-05,0.0,0.0,0.0,0.0022422470473583995,-0.003109698253583721,0.7022984449023583,0.7118723174788295,0,0,0,,0.9498903751373291,0.015759527683258057,0.0,False,False,1,False
18.36630752,314,18,366307520,map,4.243320941925049,0.10661885142326355,4.033775329589844,-5.340575626178179e-06,0.0,0.0,0.0,0.0022895088795932923,-0.003079023773538614,0.7018607071285017,0.7123038856771536,0,0,0,,0.954143762588501,0.011717379093170166,0.0,False,False,1,False
18.36630752,315,18,416307521,map,4.446798324584961,0.17858430743217468,4.066410064697266,-2.0408631826285273e-05,0.0,0.0,0.0,0.0023506915149108035,-0.0030426996514214873,0.7014322184187117,0.7127257952343509,0,0,0,,0.9536533355712891,0.011848211288452148,0.0,False,False,1,False
18.466307521,316,18,466307521,map,4.651760578155518,0.15076979994773865,4.096746444702148,-3.24249267578125e-05,0.0,0.0,0.0,0.0024117940868417813,-0.0030115927064352202,0.7010098621008596,0.7131411408662293,0,0,0,,0.9520965814590454,0.010868549346923828,0.0,False,False,1,False
18.516307522,317,18,516307522,map,4.858038902282715,0.11212050914764404,4.124050140380859,-4.920959327137098e-05,0.0,0.0,0.0,0.0024762277230193776,-0.002979514927286288,0.7006153866517648,0.7135286054348907,0,0,0,,0.9515609741210938,0.009261846542358398,0.0,False,False,1,False
18.516307522,318,18,566307523,map,5.065962791442871,0.3064616024494171,4.151773452758789,0.1048709824681282,0.0,0.0,0.0,0.002493709569945816,-0.00299540542686676,0.7001766673393606,0.7139589928507492,0,0,0,,0.9531614780426025,0.012172102928161621,0.0,False,False,1,False
18.616307524,319,18,616307524,map,5.272401332855225,0.11082172393798828,4.127321243286133,-0.05568084120750427,0.0,0.0,0.0,0.002532519745724819,-0.002990751423908229,0.6997525158563762,0.7143745924249616,0,0,0,,0.9561295509338379,0.00903397798538208,0.0,False,False,1,False
18.616307524,320,18,666307524,map,5.520047664642334,0.12428522109985352,4.951391220092773,-0.032846640795469284,0.0,0.0,0.0,0.0025965036964257023,-0.0029825556553074286,0.6993750563376149,0.7147439353384366,0,0,0,,0.9534869194030762,0.007532298564910889,0.0,False,False,1,False
18.716307525,321,18,716307525,map,5.334485054016113,-0.2477523684501648,-3.7059688568115234,-0.01689739152789116,0.0,0.0,0.0,0.0022473660539631905,-0.0024683570252217765,0.699110457876216,0.7150058910579152,0,0,0,,0.9549010992050171,0.002591073513031006,0.0,False,False,0,False
18.766307526,322,18,766307526,map,5.526953220367432,-0.19499629735946655,3.8553237915039062,-0.006845856085419655,0.0,0.0,0.0,0.0019465776036868834,-0.0019321002251623158,0.6990302515292196,0.7150868375738353,0,0,0,,0.9522876739501953,-0.003047168254852295,0.0,False,False,0,False
18.816307527,323,18,816307527,map,5.763806343078613,0.05364567041397095,4.737081527709961,-0.0027973169926553965,0.0,0.0,0.0,0.0019613579768458502,-0.0018407996178293402,0.699037110755057,0.7150803327730919,0,0,0,,0.9480397701263428,-0.0008290112018585205,0.0,False,False,0,False
18.866307527,324,18,866307527,map,6.2799201011657715,0.1880595088005066,10.320653915405273,-0.00130290980450809,0.0,0.0,0.0,0.002689065040905395,-0.002562833933387059,0.699063602726716,0.7150498445242681,0,0,0,,0.9476597309112549,-0.0008079707622528076,0.0,False,False,2,False
18.916307528,325,18,916307528,map,6.604738712310791,0.5469530820846558,6.485147476196289,7.076188921928406e-05,0.0,0.0,0.0,0.0032311021699749226,-0.0033375140740448807,0.6989225315155743,0.7151822955851422,0,0,0,,0.9471499919891357,0.007423222064971924,0.0,False,False,2,False
18.966307529,326,18,966307529,map,7.017274379730225,-0.5413630604743958,8.265142440795898,0.0016229634638875723,0.0,0.0,0.0,0.0038352368306083357,-0.0037029952664898794,0.6990143595376886,0.7150877596104023,0,0,0,,0.9622536897659302,-0.010800033807754517,0.0,False,False,2,False
19.016307529,327,19,16307529,map,7.281214714050293,0.08347839117050171,5.278186798095703,0.002364921383559704,0.0,0.0,0.0,0.004108965323113849,-0.0038473034376374483,0.6992555852817449,0.7148495933498996,0,0,0,,0.9572224617004395,-0.0037665963172912598,0.0,False,False,2,False
19.06630753,328,19,66307530,map,7.628179550170898,0.14266759157180786,6.937837600708008,0.0028217316139489412,0.0,0.0,0.0,0.004168949219574541,-0.003935866550129762,0.6994580646646651,0.7146506451354155,0,0,0,,0.9560338258743286,-0.002288311719894409,0.0,False,False,2,False
19.116307531,329,19,116307531,map,7.859228134155273,-0.24629980325698853,4.626445770263672,0.00223102536983788,0.0,0.0,0.0,0.0041451393266375884,-0.003812550947585357,0.6997477637335422,0.714367797024153,0,0,0,,0.9521961212158203,-0.007514476776123047,0.0,False,False,2,False
19.166307532,330,19,166307532,map,8.16292667388916,-0.22717028856277466,6.078634262084961,0.0017906189896166325,0.0,0.0,0.0,0.004125533583575254,-0.0036319241954160075,0.7001780935064864,0.7139470754004889,0,0,0,,0.9514937400817871,-0.00912126898765564,0.0,False,False,2,False
19.216307532,331,19,216307532,map,8.377738952636719,-0.20907089114189148,4.299831390380859,0.001070213271304965,0.0,0.0,0.0,0.004032146815202605,-0.0034193921170537025,0.7006938225942769,0.7134425110181131,0,0,0,,0.9511796236038208,-0.008894890546798706,0.0,False,False,2,False
19.266307533,332,19,266307533,map,8.653410911560059,-0.1900474727153778,5.516471862792969,0.0006114959251135588,0.0,0.0,0.0,0.003942761540607259,-0.0032532136297909156,0.7012510661371468,0.7128960748061584,0,0,0,,0.9522542953491211,-0.008851498365402222,0.0,False,False,2,False
19.266307533,333,19,316307534,map,8.862174987792969,-0.21271198987960815,4.178066253662109,0.00011329648259561509,0.0,0.0,0.0,0.0038289098679396344,-0.0030896696526006703,0.701827752659408,0.712329698235098,0,0,0,,0.9526317119598389,-0.008606255054473877,0.0,False,False,2,False
