Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
34.589312841,1,34,589312841,ego_vehicle/lane_invasion,1
35.18931285,2,35,189312850,ego_vehicle/lane_invasion,10
35.23931285,3,35,239312850,ego_vehicle/lane_invasion,10
35.939312861,4,35,939312861,ego_vehicle/lane_invasion,1
36.489312869,5,36,489312869,ego_vehicle/lane_invasion,1
36.53931287,6,36,539312870,ego_vehicle/lane_invasion,1
37.189312879,7,37,189312879,ego_vehicle/lane_invasion,1
37.639312886,8,37,639312886,ego_vehicle/lane_invasion,1
38.289312896,9,38,289312896,ego_vehicle/lane_invasion,1
47.28931303,10,47,289313030,ego_vehicle/lane_invasion,2
47.689313036,11,47,689313036,ego_vehicle/lane_invasion,2
47.789313037,12,47,789313037,ego_vehicle/lane_invasion,2
49.33931306,13,49,339313060,ego_vehicle/lane_invasion,2
