Time,data
10.943580219,2.1693880558013916
10.943580219,2.3823890686035156
10.99358022,2.587345838546753
11.043580221,2.782266139984131
11.093580221,2.9737346172332764
11.143580222,3.1659111976623535
11.193580223,3.361067771911621
11.243580223,3.5592315196990967
11.293580224,3.7597594261169434
11.343580225,3.962517738342285
11.393580226,4.167168140411377
11.443580226,4.374270915985107
11.493580227,4.583082675933838
11.543580228,4.793702125549316
11.593580229,5.005712985992432
11.643580229,5.22028923034668
11.69358023,5.392000675201416
11.743580231,5.355402946472168
11.793580232,5.409486293792725
11.843580232,5.7862372398376465
11.893580233,6.16190767288208
11.943580234,6.623805046081543
11.993580235,6.9145965576171875
12.043580235,7.292967319488525
12.093580236,7.538119792938232
12.143580237,7.862504482269287
12.193580238,8.083795547485352
12.243580238,8.373430252075195
12.293580239,8.584220886230469
12.34358024,8.850847244262695
12.393580241,9.058836936950684
12.443580241,9.30862045288086
12.493580242,9.517365455627441
12.543580243000001,9.75424575805664
12.593580244,9.96517276763916
12.643580244,10.19178295135498
12.693580245,10.405102729797363
12.743580246,10.465591430664062
12.793580247,10.472055435180664
12.843580247,10.638860702514648
12.893580248,11.040081977844238
12.943580249,11.390341758728027
12.99358025,11.704062461853027
13.04358025,11.987741470336914
13.093580251,12.248096466064453
13.143580252,12.490310668945312
13.193580253,12.718558311462402
13.243580253,12.936105728149414
13.293580254,13.145502090454102
13.343580255,13.348690032958984
13.393580256,13.546990394592285
13.443580256,13.741348266601562
13.493580257,13.932527542114258
13.543580258,14.12109661102295
13.593580259,14.307581901550293
13.643580259,14.49234390258789
13.693580260000001,14.67583179473877
13.743580261,14.858287811279297
13.793580261,15.039848327636719
13.843580262,15.220623016357422
13.893580263,15.400741577148438
13.943580264,15.580194473266602
13.993580264,15.759035110473633
14.043580265,15.858975410461426
14.093580266,15.846368789672852
14.143580267,15.898341178894043
14.193580267,16.190271377563477
14.243580268,16.44683265686035
14.293580269,16.675567626953125
14.34358027,16.88310432434082
14.39358027,17.07426643371582
14.443580271,17.252700805664062
14.493580272,17.421152114868164
14.543580273,17.582178115844727
14.593580273,17.737924575805664
14.643580274,17.889190673828125
14.693580275,18.03667449951172
14.743580276,18.180877685546875
14.793580276,18.321443557739258
14.843580277000001,18.44756317138672
14.893580278,18.514657974243164
14.943580279,18.479272842407227
14.993580279,18.35497283935547
15.04358028,18.180604934692383
15.093580281,17.995100021362305
15.143580282,17.788545608520508
15.193580282,17.587020874023438
15.243580283,17.393707275390625
15.293580284,17.20479965209961
15.343580285,17.003686904907227
15.393580285,16.81597900390625
15.443580286,16.639469146728516
15.493580287,16.486604690551758
15.543580288,16.369462966918945
15.593580288,16.279489517211914
15.643580289,16.199373245239258
15.69358029,16.115346908569336
15.743580291,16.022666931152344
