Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
33.105615093,1,33,105615093,ego_vehicle/lane_invasion,10
34.155615109,2,34,155615109,ego_vehicle/lane_invasion,1
34.95561512,3,34,955615120,ego_vehicle/lane_invasion,1
72.405615678,4,72,405615678,ego_vehicle/lane_invasion,10
72.955615687,5,72,955615687,ego_vehicle/lane_invasion,10
111.855616266,6,111,855616266,ego_vehicle/lane_invasion,10
112.80561628,7,112,805616280,ego_vehicle/lane_invasion,1
113.005616283,8,113,5616283,ego_vehicle/lane_invasion,10
113.655616293,9,113,655616293,ego_vehicle/lane_invasion,1,2
114.655616308,10,114,655616308,ego_vehicle/lane_invasion,2
153.405616885,11,153,405616885,ego_vehicle/lane_invasion,10
153.955616894,12,153,955616894,ego_vehicle/lane_invasion,10
192.005617461,13,192,5617461,ego_vehicle/lane_invasion,10
193.655617485,14,193,655617485,ego_vehicle/lane_invasion,1
194.255617494,15,194,255617494,ego_vehicle/lane_invasion,1
194.455617497,16,194,455617497,ego_vehicle/lane_invasion,1
195.005617505,17,195,5617505,ego_vehicle/lane_invasion,1,2
195.655617515,18,195,655617515,ego_vehicle/lane_invasion,2,2
195.95561752,19,195,955617520,ego_vehicle/lane_invasion,2
