Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,crossed_lane_markings_0
40.763839573,1,40,763839573,ego_vehicle/lane_invasion,10
41.91383959,2,41,913839590,ego_vehicle/lane_invasion,1
42.363839596,3,42,363839596,ego_vehicle/lane_invasion,1
43.163839608,4,43,163839608,ego_vehicle/lane_invasion,1
44.013839621,5,44,13839621,ego_vehicle/lane_invasion,1
44.113839623,6,44,113839623,ego_vehicle/lane_invasion,1
44.563839629,7,44,563839629,ego_vehicle/lane_invasion,1
44.763839632,8,44,763839632,ego_vehicle/lane_invasion,1
45.663839646,9,45,663839646,ego_vehicle/lane_invasion,1
45.763839647,10,45,763839647,ego_vehicle/lane_invasion,1
46.61383966,11,46,613839660,ego_vehicle/lane_invasion,1
46.913839664,12,46,913839664,ego_vehicle/lane_invasion,1
47.913839679,13,47,913839679,ego_vehicle/lane_invasion,1
47.96383968,14,47,963839680,ego_vehicle/lane_invasion,2
48.763839692,15,48,763839692,ego_vehicle/lane_invasion,2
55.613839794,16,55,613839794,ego_vehicle/lane_invasion,2
56.0138398,17,56,13839800,ego_vehicle/lane_invasion,2
56.113839801,18,56,113839801,ego_vehicle/lane_invasion,2
57.213839818,19,57,213839818,ego_vehicle/lane_invasion,2
