Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,velocity,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,orientation.x,orientation.y,orientation.z,orientation.w,control.header.seq,control.header.stamp.secs,control.header.stamp.nsecs,control.header.frame_id,control.throttle,control.steer,control.brake,control.hand_brake,control.reverse,control.gear,control.manual_gear_shift
12.951621534000001,176,12,951621534,map,1.9338172674179077,-2.366311550140381,3.053162097930908,0.0014007568825036287,0.0,0.0,0.0,0.004511128245219058,-0.003026376941770494,0.9211715777456158,0.38911876736828643,0,0,0,,0.9118757247924805,0.06716281175613403,0.0,False,False,1,False
13.001621535,177,13,1621535,map,2.0422065258026123,-1.769719123840332,1.327211856842041,0.0021276473999023438,0.0,0.0,0.0,0.0041674494736791195,-0.002697340006554255,0.9207498906735971,0.39012177015174676,0,0,0,,0.896872878074646,0.04046684503555298,0.0,False,False,1,False
13.051621535,178,13,51621535,map,2.180953025817871,-2.2984743118286133,1.659543514251709,0.0014410018920898438,0.0,0.0,0.0,0.0038265898306436134,-0.002137225446696798,0.9204727302921086,0.39078221846221306,0,0,0,,0.894057035446167,0.019025146961212158,0.0,False,False,1,False
13.101621536,179,13,101621536,map,2.3552374839782715,-3.14424991607666,1.8238401412963867,0.0002931593917310238,0.0,0.0,0.0,0.0036794027657076453,-0.0014732835976127763,0.920497333470134,0.39072874287042386,0,0,0,,0.8904346227645874,-0.01244664192199707,0.0,False,False,1,False
13.151621537,180,13,151621537,map,2.5359559059143066,-3.795170783996582,1.3123297691345215,-0.0005176544073037803,0.0,0.0,0.0,0.003780023225873449,-0.0006640715190377846,0.9209507898253665,0.38965999686067776,0,0,0,,0.880408763885498,-0.06281822919845581,0.0,False,False,1,False
13.151621537,181,13,201621538,map,2.7003555297851562,-3.7680983543395996,0.7696723937988281,-0.0008884428534656763,0.0,0.0,0.0,0.003978564962201753,0.00024193166226735676,0.9219631192996025,0.38725717442193275,0,0,0,,0.9046134948730469,-0.10827511548995972,0.0,False,False,1,False
13.251621538,182,13,251621538,map,2.8649728298187256,-3.2335710525512695,1.302168369293213,-0.0006889342912472785,0.0,0.0,0.0,0.004077790277556668,0.0008282532286247347,0.9233166308108545,0.38401703724071135,0,0,0,,0.9180963039398193,-0.11634397506713867,0.0,False,False,1,False
13.301621539,183,13,301621539,map,3.034440517425537,-2.773733139038086,1.9703173637390137,-4.329680814407766e-05,0.0,0.0,0.0,0.004015915765055941,0.0009012664798536717,0.9247015881969739,0.3806705044067561,0,0,0,,0.9283065795898438,-0.10376760363578796,0.0,False,False,1,False
13.301621539,184,13,351621540,map,3.210048198699951,-2.4351882934570312,2.5574541091918945,0.00042190548265352845,0.0,0.0,0.0,0.003837642350757691,0.0005474084331678396,0.9259205996680945,0.37769831341359095,0,0,0,,0.9369868040084839,-0.07997387647628784,0.0,False,False,1,False
13.401621541,185,13,401621541,map,3.3924686908721924,-2.3538827896118164,2.855563163757324,0.000247955322265625,0.0,0.0,0.0,0.003628457462484117,-9.514414666915568e-06,0.926904013694635,0.375280939567539,0,0,0,,0.9457089900970459,-0.057973623275756836,0.0,False,False,1,False
13.451621541,186,13,451621541,map,3.581519603729248,-2.5481748580932617,2.8281688690185547,-0.00011825562978629023,0.0,0.0,0.0,0.0034772737786578018,-0.0005147935934643501,0.9277075408191799,0.3732912566105104,0,0,0,,0.95768141746521,-0.046162813901901245,0.0,False,False,1,False
13.501621542,187,13,501621542,map,3.7779622077941895,-3.0731201171875,2.455291748046875,-0.0002731323183979839,0.0,0.0,0.0,0.003465371602247018,-0.0007307106540339652,0.9285046547613196,0.3713038692878934,0,0,0,,0.9852380752563477,-0.050996333360672,0.0,False,False,1,False
13.551621543,188,13,551621543,map,3.981015682220459,-1.9941091537475586,3.857893943786621,-0.00022583008103538305,0.0,0.0,0.0,0.0033309239588660885,-0.0013094102324545803,0.9289535015535902,0.37017912196900965,0,0,0,,0.9893391132354736,-0.007360279560089111,0.0,False,False,1,False
13.551621543,189,13,601621543,map,4.190094947814941,-2.048511505126953,3.9345550537109375,-0.0003654480096884072,0.0,0.0,0.0,0.003148432113139355,-0.0020333212262944986,0.9289446738561671,0.37019960277433955,0,0,0,,0.9887242317199707,0.016765475273132324,0.0,False,False,1,False
13.651621544,190,13,651621544,map,4.401775360107422,-1.6834592819213867,4.342913627624512,-0.0004476546891964972,0.0,0.0,0.0,0.0029266913527071,-0.0028317087428209277,0.9284401428544196,0.3714597111932686,0,0,0,,0.9855983257293701,0.04798644781112671,0.0,False,False,1,False
